timestamp,price,regime
1704067200,2999.500015,Ground
1704067210,3000.347650,Ground
1704067220,2999.469584,Ground
1704067230,2999.615640,Ground
1704067240,2999.706298,Ground
1704067250,2999.798278,Ground
1704067260,2998.866031,Ground
1704067270,2998.532127,Ground
1704067280,2998.467759,Ground
1704067290,2998.944829,Ground
1704067300,2997.789634,Ground
1704067310,2996.833028,Ground
1704067320,2998.336430,Ground
1704067330,2999.736258,Ground
1704067340,2999.375122,Ground
1704067350,3000.664456,Ground
1704067360,3000.618367,Ground
1704067370,3000.859855,Ground
1704067380,3000.336055,Ground
1704067390,3000.631473,Ground
1704067400,3000.253803,Ground
1704067410,2999.587443,Ground
1704067420,3000.972636,Ground
1704067430,3001.425575,Ground
1704067440,3001.777886,Ground
1704067450,3001.153014,Ground
1704067460,3000.904679,Ground
1704067470,3000.458158,Ground
1704067480,2999.579578,Ground
1704067490,2999.165714,Ground
1704067500,2998.868737,Ground
1704067510,2999.052888,Ground
1704067520,2998.685585,Ground
1704067530,2999.137009,Ground
1704067540,2999.096406,Ground
1704067550,2998.716641,Ground
1704067560,2998.236964,Ground
1704067570,2998.361913,Ground
1704067580,2998.088286,Ground
1704067590,2997.916498,Ground
1704067600,2997.516320,Ground
1704067610,2998.497027,Ground
1704067620,2999.186766,Ground
1704067630,2998.555649,Ground
1704067640,2998.493015,Ground
1704067650,2999.452042,Ground
1704067660,2999.364444,Ground
1704067670,3000.290401,Ground
1704067680,3000.423076,Ground
1704067690,3000.603653,Ground
1704067700,3001.962871,Ground
1704067710,3001.077189,Ground
1704067720,3001.392400,Ground
1704067730,3001.389897,Ground
1704067740,3000.659869,Ground
1704067750,2999.984291,Ground
1704067760,2999.317469,Ground
1704067770,2998.886715,Ground
1704067780,2999.693116,Ground
1704067790,2999.765782,Ground
1704067800,2999.331593,Ground
1704067810,2999.209060,Ground
1704067820,2999.240713,Ground
1704067830,2999.266264,Ground
1704067840,2998.690575,Ground
1704067850,2998.719056,Ground
1704067860,2998.323554,Ground
1704067870,2997.357520,Ground
1704067880,2997.679029,Ground
1704067890,2997.882563,Ground
1704067900,2998.302575,Ground
1704067910,2997.663036,Ground
1704067920,2998.504236,Ground
1704067930,2998.543408,Ground
1704067940,2998.117968,Ground
1704067950,2997.379554,Ground
1704067960,2997.645710,Ground
1704067970,2998.878331,Ground
1704067980,2998.751144,Ground
1704067990,2997.633180,Ground
1704068000,2997.603006,Ground
1704068010,2997.487573,Ground
1704068020,2996.601442,Ground
1704068030,2996.914572,Ground
1704068040,2997.203173,Ground
1704068050,2997.541066,Ground
1704068060,2997.157622,Ground
1704068070,2997.620568,Ground
1704068080,2997.212182,Ground
1704068090,2995.791971,Ground
1704068100,2996.279249,Ground
1704068110,2996.285484,Ground
1704068120,2994.679034,Ground
1704068130,2995.586867,Ground
1704068140,2995.715850,Ground
1704068150,2996.019057,Ground
1704068160,2996.894140,Ground
1704068170,2997.400684,Ground
1704068180,2996.654324,Ground
1704068190,2996.145075,Ground
1704068200,2996.088412,Ground
1704068210,2996.531009,Ground
1704068220,2995.930838,Ground
1704068230,2996.939457,Ground
1704068240,2996.963576,Ground
1704068250,2995.910676,Ground
1704068260,2995.797293,Ground
1704068270,2994.907812,Ground
1704068280,2995.509818,Ground
1704068290,2994.996823,Ground
1704068300,2994.781688,Ground
1704068310,2994.471245,Ground
1704068320,2994.650892,Ground
1704068330,2995.387345,Ground
1704068340,2995.236314,Ground
1704068350,2995.561639,Ground
1704068360,2995.945354,Ground
1704068370,2996.010273,Ground
1704068380,2996.070130,Ground
1704068390,2996.216166,Ground
1704068400,2996.659678,Ground
1704068410,2996.569096,Ground
1704068420,2997.290926,Ground
1704068430,2996.944742,Ground
1704068440,2996.803294,Ground
1704068450,2996.279617,Ground
1704068460,2995.677325,Ground
1704068470,2996.771930,Ground
1704068480,2997.214822,Ground
1704068490,2997.644958,Ground
1704068500,2996.403145,Ground
1704068510,2996.950967,Ground
1704068520,2997.544460,Ground
1704068530,2998.167446,Ground
1704068540,2997.928649,Ground
1704068550,2997.744392,Ground
1704068560,2997.682996,Ground
1704068570,2996.972556,Ground
1704068580,2997.307450,Ground
1704068590,2997.416762,Ground
1704068600,2997.290852,Ground
1704068610,2996.976038,Ground
1704068620,2996.086714,Ground
1704068630,2995.684352,Ground
1704068640,2996.232313,Ground
1704068650,2996.357582,Ground
1704068660,2997.006400,Ground
1704068670,2996.738983,Ground
1704068680,2996.894836,Ground
1704068690,2996.899712,Ground
1704068700,2996.838251,Ground
1704068710,2996.345334,Ground
1704068720,2995.039851,Ground
1704068730,2995.185447,Ground
1704068740,2994.614352,Ground
1704068750,2994.530462,Ground
1704068760,2994.660664,Ground
1704068770,2994.307407,Ground
1704068780,2994.288654,Ground
1704068790,2994.351834,Ground
1704068800,2995.090214,Ground
1704068810,2995.709387,Ground
1704068820,2996.019986,Ground
1704068830,2995.014019,Ground
1704068840,2994.504817,Ground
1704068850,2994.342878,Ground
1704068860,2994.263079,Ground
1704068870,2993.680517,Ground
1704068880,2993.798845,Ground
1704068890,2993.524480,Ground
1704068900,2992.818921,Ground
1704068910,2993.442997,Ground
1704068920,2993.704942,Ground
1704068930,2994.354002,Ground
1704068940,2994.005709,Ground
1704068950,2993.840685,Ground
1704068960,2993.643492,Ground
1704068970,2992.480422,Ground
1704068980,2993.065015,Ground
1704068990,2992.586011,Ground
1704069000,2992.600254,Ground
1704069010,2992.790408,Ground
1704069020,2992.926755,Ground
1704069030,2993.779887,Ground
1704069040,2993.210956,Ground
1704069050,2992.962411,Ground
1704069060,2993.350160,Ground
1704069070,2994.015372,Ground
1704069080,2994.100300,Ground
1704069090,2994.541581,Ground
1704069100,2994.903846,Ground
1704069110,2994.939234,Ground
1704069120,2994.399097,Ground
1704069130,2994.131544,Ground
1704069140,2995.207234,Ground
1704069150,2995.042173,Ground
1704069160,2994.448498,Ground
1704069170,2994.363217,Ground
1704069180,2992.644960,Ground
1704069190,2992.384721,Ground
1704069200,2991.557344,Ground
1704069210,2991.963391,Ground
1704069220,2991.342578,Ground
1704069230,2990.974236,Ground
1704069240,2989.943774,Ground
1704069250,2990.068284,Ground
1704069260,2990.276489,Ground
1704069270,2990.154535,Ground
1704069280,2989.292979,Ground
1704069290,2989.307532,Ground
1704069300,2988.700348,Ground
1704069310,2988.473057,Ground
1704069320,2987.862507,Ground
1704069330,2987.861493,Ground
1704069340,2987.651602,Ground
1704069350,2986.319450,Ground
1704069360,2986.444962,Ground
1704069370,2986.288599,Ground
1704069380,2985.911897,Ground
1704069390,2985.861224,Ground
1704069400,2986.801529,Ground
1704069410,2986.688112,Ground
1704069420,2987.257056,Ground
1704069430,2987.291268,Ground
1704069440,2986.321192,Ground
1704069450,2986.581357,Ground
1704069460,2986.712469,Ground
