timestamp,price,regime
1704067200,90107.109342,Excited
1704067210,89967.444030,Excited
1704067220,90019.296712,Excited
1704067230,89898.076552,Excited
1704067240,89980.563563,Excited
1704067250,90036.020234,Excited
1704067260,90066.786987,Excited
1704067270,90074.533707,Excited
1704067280,90076.561271,Excited
1704067290,90195.786028,Excited
1704067300,90134.097219,Excited
1704067310,90430.949884,Excited
1704067320,90221.100652,Excited
1704067330,89897.949412,Excited
1704067340,89846.411027,Excited
1704067350,89979.237087,Excited
1704067360,89787.022374,Excited
1704067370,89857.048159,Excited
1704067380,89934.803056,Excited
1704067390,89811.061214,Excited
1704067400,89905.790458,Excited
1704067410,90002.128325,Excited
1704067420,89928.048392,Excited
1704067430,89955.334739,Excited
1704067440,90035.838418,Excited
1704067450,89928.760984,Excited
1704067460,89860.703240,Excited
1704067470,89875.669726,Excited
1704067480,89806.108814,Excited
1704067490,89932.977218,Excited
1704067500,89897.744316,Excited
1704067510,90004.711546,Excited
1704067520,89786.899366,Excited
1704067530,89987.547790,Excited
1704067540,89777.867236,Excited
1704067550,89750.322692,Excited
1704067560,89853.146801,Excited
1704067570,89933.519557,Excited
1704067580,89998.288247,Excited
1704067590,89828.341110,Excited
1704067600,89739.087335,Excited
1704067610,89841.109159,Excited
1704067620,89669.484863,Excited
1704067630,89894.784511,Excited
1704067640,89924.804829,Excited
1704067650,89929.634978,Excited
1704067660,89868.377595,Excited
1704067670,89743.662287,Excited
1704067680,89477.513481,Excited
1704067690,89493.592797,Excited
1704067700,89767.267681,Excited
1704067710,89456.358135,Excited
1704067720,89567.897297,Excited
1704067730,89587.528245,Excited
1704067740,89601.944028,Excited
1704067750,89433.993998,Excited
1704067760,89441.451354,Excited
1704067770,89568.945361,Excited
1704067780,89599.966464,Excited
1704067790,89795.506189,Excited
1704067800,89747.220573,Excited
1704067810,89742.974485,Excited
1704067820,89667.315862,Excited
1704067830,89754.831426,Excited
1704067840,89789.505920,Excited
1704067850,89732.958077,Excited
1704067860,89822.954562,Excited
1704067870,89792.919769,Excited
1704067880,89875.811310,Excited
1704067890,90031.525053,Excited
1704067900,89996.697976,Excited
1704067910,89763.647269,Excited
1704067920,89659.682113,Excited
1704067930,89655.264505,Excited
1704067940,89569.223801,Excited
1704067950,89455.251218,Excited
1704067960,89572.105876,Excited
1704067970,89822.682972,Excited
1704067980,89734.942604,Excited
1704067990,90040.673325,Excited
1704068000,90230.013840,Excited
1704068010,90213.251248,Excited
1704068020,90095.397213,Excited
1704068030,90287.417046,Excited
1704068040,90330.232873,Excited
1704068050,90449.498436,Excited
1704068060,90426.391040,Excited
1704068070,90226.923793,Excited
1704068080,90345.243478,Excited
1704068090,90569.851610,Excited
1704068100,90726.187650,Excited
1704068110,90644.465340,Excited
1704068120,90865.757658,Excited
1704068130,90880.650229,Excited
1704068140,91044.579721,Excited
1704068150,91241.520018,Excited
1704068160,91260.187839,Excited
1704068170,91281.052018,Excited
1704068180,91510.333984,Excited
1704068190,91549.313124,Excited
1704068200,91733.618855,Excited
1704068210,91558.012106,Excited
1704068220,91411.721039,Excited
1704068230,91651.618923,Excited
1704068240,91443.426782,Excited
1704068250,91363.797620,Excited
1704068260,91179.720094,Excited
1704068270,91111.492904,Excited
1704068280,91132.659700,Excited
1704068290,91068.941499,Excited
1704068300,91011.685501,Excited
1704068310,91020.274431,Excited
1704068320,91046.994323,Excited
1704068330,91231.953276,Excited
1704068340,91687.043837,Excited
1704068350,91595.647907,Excited
1704068360,91492.203372,Excited
